uid,title,summary,type,color,start,end,location,link
schedule-request-2573331-occurrence-6341477,2573331 - Girls Varsity Soccer @ Canfield High School,2573331 - Girls Varsity Soccer @ Canfield High School,Athletics - Away,#de0720,2025-10-06 7:00 PM,2025-10-06 9:00 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2573331/occurrences/6341477
schedule-request-2574221-occurrence-6345353,2574221 - Boys Junior Varsity Soccer @ Salem Jr/Sr High School,2574221 - Boys Junior Varsity Soccer @ Salem Jr/Sr High School,Athletics - Away,#de0720,2025-09-11 5:00 PM,2025-09-11 7:00 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2574221/occurrences/6345353
schedule-request-2574222-occurrence-6345354,2574222 - Boys Varsity Soccer @ Salem Jr/Sr High School,2574222 - Boys Varsity Soccer @ Salem Jr/Sr High School,Athletics - Away,#de0720,2025-09-11 7:00 PM,2025-09-11 9:00 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2574222/occurrences/6345354
schedule-request-2574271-occurrence-6345555,2574271 - Boys 8th Football @ Lakeview Middle School-Cortland,2574271 - Boys 8th Football @ Lakeview Middle School-Cortland,Athletics - Away,#de0720,2025-08-28 5:00 PM,2025-08-28 7:00 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2574271/occurrences/6345555
schedule-request-2574774-occurrence-6347663,2574774 - Boys Varsity Soccer @ Niles McKinley High School,2574774 - Boys Varsity Soccer @ Niles McKinley High School,Athletics - Away,#de0720,2025-08-28 5:30 PM,2025-08-28 7:30 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2574774/occurrences/6347663
schedule-request-2574775-occurrence-6347664,2574775 - Girls Varsity Soccer @ Niles McKinley High School,2574775 - Girls Varsity Soccer @ Niles McKinley High School,Athletics - Away,#de0720,2025-08-28 7:30 PM,2025-08-28 9:30 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2574775/occurrences/6347664
schedule-request-2574777-occurrence-6347666,2574777 - Boys Varsity Soccer @ Lakeview High School,2574777 - Boys Varsity Soccer @ Lakeview High School,Athletics - Away,#de0720,2025-09-08 5:30 PM,2025-09-08 7:30 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2574777/occurrences/6347666
schedule-request-2574778-occurrence-6347667,2574778 - Girls Varsity Soccer @ Lakeview High School,2574778 - Girls Varsity Soccer @ Lakeview High School,Athletics - Away,#de0720,2025-09-08 7:30 PM,2025-09-08 9:30 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2574778/occurrences/6347667
schedule-request-2574812-occurrence-6347770,2574812 - Girls Varsity Soccer @ Girard Jr/Sr HS,2574812 - Girls Varsity Soccer @ Girard Jr/Sr HS,Athletics - Away,#de0720,2025-09-18 5:30 PM,2025-09-18 7:30 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2574812/occurrences/6347770
schedule-request-2574849-occurrence-6348288,2574849 - Boys Varsity Soccer @ Girard Jr/Sr HS,2574849 - Boys Varsity Soccer @ Girard Jr/Sr HS,Athletics - Away,#de0720,2025-09-18 7:15 PM,2025-09-18 9:15 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2574849/occurrences/6348288
schedule-request-2574850-occurrence-6348289,2574850 - Girls Varsity Soccer @ Hubbard High School,2574850 - Girls Varsity Soccer @ Hubbard High School,Athletics - Away,#de0720,2025-09-22 5:00 PM,2025-09-22 7:00 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2574850/occurrences/6348289
schedule-request-2574851-occurrence-6348290,2574851 - Boys Varsity Soccer @ Hubbard High School,2574851 - Boys Varsity Soccer @ Hubbard High School,Athletics - Away,#de0720,2025-09-22 7:00 PM,2025-09-22 9:00 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2574851/occurrences/6348290
schedule-request-2574854-occurrence-6348293,2574854 - Girls Varsity Soccer @ Struthers High School,2574854 - Girls Varsity Soccer @ Struthers High School,Athletics - Away,#de0720,2025-09-29 7:00 PM,2025-09-29 9:00 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2574854/occurrences/6348293
schedule-request-2574857-occurrence-6348296,2574857 - Girls Varsity Soccer @ South Range High School,2574857 - Girls Varsity Soccer @ South Range High School,Athletics - Away,#de0720,2025-10-08 5:30 PM,2025-10-08 7:30 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2574857/occurrences/6348296
schedule-request-2574858-occurrence-6348297,2574858 - Boys Varsity Soccer @ South Range High School,2574858 - Boys Varsity Soccer @ South Range High School,Athletics - Away,#de0720,2025-10-08 7:15 PM,2025-10-08 9:15 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2574858/occurrences/6348297
schedule-request-2574987-occurrence-6348771,2574987 - Boys Junior Varsity Soccer @ West Branch High School,2574987 - Boys Junior Varsity Soccer @ West Branch High School,Athletics - Away,#de0720,2025-09-04 5:45 PM,2025-09-04 7:45 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2574987/occurrences/6348771
schedule-request-2574988-occurrence-6348772,2574988 - Boys Varsity Soccer @ West Branch High School,2574988 - Boys Varsity Soccer @ West Branch High School,Athletics - Away,#de0720,2025-09-04 7:00 PM,2025-09-04 9:00 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2574988/occurrences/6348772
schedule-request-2580906-occurrence-6367638,2580906 - Boys 7th Football @ Canfield Village Middle School,2580906 - Boys 7th Football @ Canfield Village Middle School,Athletics - Away,#de0720,2025-09-11 4:30 PM,2025-09-11 6:30 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2580906/occurrences/6367638
schedule-request-2580907-occurrence-6367639,2580907 - Boys 8th Football @ Canfield Village Middle School,2580907 - Boys 8th Football @ Canfield Village Middle School,Athletics - Away,#de0720,2025-09-11 5:30 PM,2025-09-11 7:30 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2580907/occurrences/6367639
schedule-request-2580908-occurrence-6367640,2580908 - Boys Freshman Football @ Canfield High School,2580908 - Boys Freshman Football @ Canfield High School,Athletics - Away,#de0720,2025-09-11 6:30 PM,2025-09-11 8:30 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2580908/occurrences/6367640
schedule-request-2581703-occurrence-6370396,2581703 - Girls Junior Varsity Volleyball @ Canfield High School,2581703 - Girls Junior Varsity Volleyball @ Canfield High School,Athletics - Away,#de0720,2025-08-25 5:30 PM,2025-08-25 7:30 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2581703/occurrences/6370396
schedule-request-2581704-occurrence-6370397,2581704 - Girls Varsity Volleyball @ Canfield High School,2581704 - Girls Varsity Volleyball @ Canfield High School,Athletics - Away,#de0720,2025-08-25 7:00 PM,2025-08-25 9:00 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2581704/occurrences/6370397
schedule-request-2595418-occurrence-6389775,2595418 - Boys Varsity Soccer @ Champion High School,2595418 - Boys Varsity Soccer @ Champion High School,Athletics - Away,#de0720,2025-09-30 6:00 PM,2025-09-30 8:00 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2595418/occurrences/6389775
schedule-request-2631123-occurrence-6445162,2631123 - Girls Junior Varsity Soccer @ St. Vincent-St. Mary H.S. (1/2 only),2631123 - Girls Junior Varsity Soccer @ St. Vincent-St. Mary H.S. (1/2 only),Athletics - Away,#de0720,2025-09-10 5:30 PM,2025-09-10 7:30 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2631123/occurrences/6445162
schedule-request-2631124-occurrence-6445163,2631124 - Girls Varsity Soccer @ St. Vincent-St. Mary H.S.,2631124 - Girls Varsity Soccer @ St. Vincent-St. Mary H.S.,Athletics - Away,#de0720,2025-09-10 6:45 PM,2025-09-10 8:45 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2631124/occurrences/6445163
schedule-request-2667115-occurrence-6502637,2667115 - Girls Junior Varsity Volleyball @ Campbell Memorial High School,2667115 - Girls Junior Varsity Volleyball @ Campbell Memorial High School,Athletics - Away,#de0720,2025-08-18 5:30 PM,2025-08-18 7:30 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2667115/occurrences/6502637
schedule-request-2667116-occurrence-6502638,2667116 - Girls Varsity Volleyball @ Campbell Memorial High School,2667116 - Girls Varsity Volleyball @ Campbell Memorial High School,Athletics - Away,#de0720,2025-08-18 7:00 PM,2025-08-18 9:00 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2667116/occurrences/6502638
schedule-request-2667118-occurrence-6502640,2667118 - Girls Varsity Soccer @ Boardman High School,2667118 - Girls Varsity Soccer @ Boardman High School,Athletics - Away,#de0720,2025-09-20 12:00 PM,2025-09-20 2:00 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2667118/occurrences/6502640
